Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality
C5128526,Unit 602 - 38 Stewart St,Waterfront Communities C1 - Toronto,Condo Apt,599000,643747,2021-03-15 00:00:00,595000.0,1.0,1,0,2363.0,"Condo Apt, Apartment",422.0,,500.0,,"water,heat",18,31.0,2021-02-25 00:00:00,2021-03-15 00:00:00,1570.0,1.59,King St & Bathurst St,"Concierge, Exercise Room, Gym, Outdoor Pool, Rooftop Deck/Garden, Security Guard",S,Toronto
C5073554,Unit 321 - 633 Bay St,Bay Street Corridor - Toronto,Condo Apt,619900,639904,2021-03-15 00:00:00,603000.0,1.0,1,1,2513.0,"Condo Apt, Apartment",730.0,,800.0,,"water,hydro,heat",72,33.0,2021-01-02 00:00:00,2021-03-15 00:00:00,1946.0,1.68,Bay & Dundas,"Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Security Guard",N,Toronto
C5149549,Unit 3406 - 295 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,659000,689138,2021-03-15 00:00:00,721223.0,1.33,1,0,2663.0,"Condo Apt, Apartment",429.0,,600.0,,"water,heat",2,30.0,2021-03-12 00:00:00,2021-03-15 00:00:00,1844.0,1.81,Adelaide & John,"Gym, Indoor Pool, Party/Meeting Room, Sauna, Security Guard, Visitor Parking",E,Toronto
C5143960,Unit 412 - 90 Trinity St,Moss Park - Toronto,Condo Apt,670000,707359,2021-03-15 00:00:00,670000.0,1.33,1,1,2339.0,"Condo Apt, Loft",579.0,6-10,600.0,,"water,heat",6,28.0,2021-03-08 00:00:00,2021-03-15 00:00:00,2400.0,2.46,Front & Parliament,"Bbqs Allowed, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",NW,Toronto
C5133188,Unit 37 - 88 Carr St,Kensington-Chinatown - Toronto,Condo Townhouse,589000,679127,2021-03-15 00:00:00,709999.0,2.0,2,1,2549.0,"Condo Townhouse, Stacked Townhse",530.0,11-15,800.0,,water,12,26.0,2021-03-02 00:00:00,2021-03-15 00:00:00,2650.0,3.18,North East Of Bathurst & Queen,"Bbqs Allowed, Security System",E,Toronto
C5148700,Unit 1527 - 8 Hillsdale Ave E,Mount Pleasant East - Toronto,Condo Apt,609900,606139,2021-03-15 00:00:00,638000.0,1.33,1,0,,"Condo Apt, Apartment",371.0,,500.0,,,4,26.0,2021-03-09 00:00:00,2021-03-15 00:00:00,1680.0,2.29,Yonge & Eglinton,,S,Toronto
C5148162,Unit 3206 - 832 Bay St,Bay Street Corridor - Toronto,Condo Apt,699900,713059,2021-03-15 00:00:00,738000.0,1.33,1,0,2572.0,"Condo Apt, Apartment",386.0,6-10,600.0,,"water,heat",2,41.0,2021-03-11 00:00:00,2021-03-15 00:00:00,1367.0,1.09,Bay St & College St,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Sauna, Visitor Parking",E,Toronto
C5147068,Unit 803 - 168 Simcoe St,Waterfront Communities C1 - Toronto,Condo Apt,595000,621745,2021-03-15 00:00:00,681000.0,1.0,1,1,2260.0,"Condo Apt, Apartment",674.0,16-30,600.0,,"water,hydro,heat",2,30.0,2021-03-11 00:00:00,2021-03-15 00:00:00,1588.0,1.2,Richmond St W. & Simcoe St,"Concierge, Exercise Room, Games Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",E,Toronto
C5146769,Unit 4101 - 295 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,639900,647240,2021-03-15 00:00:00,673000.0,1.0,1,0,2189.0,"Condo Apt, Apartment",360.0,6-10,500.0,,"water,heat",2,30.0,2021-03-11 00:00:00,2021-03-15 00:00:00,1750.0,1.96,Adelaide & John,"Concierge, Exercise Room, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden",W,Toronto
"W5145125, 40078783",4 Greenacres Rd,Beechborough-Greenbrook - Toronto,Detached,699900,850507,2021-03-14 00:00:00,1000000.0,3.0,3,0,2879.0,"Detached, 1 1/2 Storey",,1948,1004.0,"Finished, Sep Entrance",,3,20.0,2021-03-10 00:00:00,2021-03-14 00:00:00,2163.0,2.53,Trethewey & Yore & Greenacres,,,Toronto
