Community,House_type,Listing_price,Sigma_estimate,Sold_price,Bedroom,Washroom,Parking,Tax,Maintenance,Size,Days_on_market,Exposure,heat,water,hydro,Size_cat
Waterfront Communities C1 - Toronto,Condo Apt,599000,643747,595000.0,1.0,1,0,2363.0,422.0,500.0,18,S,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,619900,639904,603000.0,1.0,1,1,2513.0,730.0,800.0,72,N,1,1,1,"[800, 900)"
Waterfront Communities C1 - Toronto,Condo Apt,659000,689138,721223.0,1.33,1,0,2663.0,429.0,600.0,2,E,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,670000,707359,670000.0,1.33,1,1,2339.0,579.0,600.0,6,NW,1,1,0,"[600, 700)"
Kensington-Chinatown - Toronto,Condo Townhouse,589000,679127,709999.0,2.0,2,1,2549.0,530.0,800.0,12,E,0,1,0,"[800, 900)"
Mount Pleasant East - Toronto,Condo Apt,609900,606139,638000.0,1.33,1,0,2197.8396946564885,371.0,500.0,4,S,0,0,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,699900,713059,738000.0,1.33,1,0,2572.0,386.0,600.0,2,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,595000,621745,681000.0,1.0,1,1,2260.0,674.0,600.0,2,E,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,639900,647240,673000.0,1.0,1,0,2189.0,360.0,500.0,2,W,1,1,0,"[500, 600)"
Beechborough-Greenbrook - Toronto,Detached,699900,850507,1000000.0,3.0,3,0,2879.0,797.0833333333334,1004.0,3,S,0,0,0,"[1000, 1100)"
Casa Loma - Toronto,Condo Apt,649000,634530,641000.0,1.0,1,1,2414.0,575.0,500.0,3,E,1,1,0,"[500, 600)"
Mount Pleasant East - Toronto,Condo Apt,650000,657802,645000.0,1.33,1,0,2339.0,412.0,600.0,4,E,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,659000,683434,660000.0,1.33,1,1,3047.0,935.0,700.0,4,W,1,1,1,"[700, 800)"
High Park-Swansea - Toronto,Condo Apt,699000,724856,721000.0,1.33,1,1,2579.0,579.0,600.0,1,NW,0,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,630000,654811,661200.0,1.33,1,1,2197.8396946564885,507.0,500.0,2,S,1,0,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,649000,668267,682000.0,1.0,1,0,2336.0,440.0,500.0,2,N,0,0,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,645000,680789,695000.0,1.33,1,1,2531.0,474.0,600.0,2,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599900,634313,685000.0,1.0,1,1,2213.0,467.0,600.0,2,NW,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,625134,610000.0,1.33,1,0,2249.0,428.0,500.0,3,W,1,1,0,"[500, 600)"
Niagara - Toronto,Condo Apt,699900,729431,725000.0,1.33,2,1,2279.0,408.0,600.0,3,SW,1,1,0,"[600, 700)"
Niagara - Toronto,Condo Apt,600000,653602,723000.0,1.0,1,1,2051.0,331.0,600.0,4,S,1,1,0,"[600, 700)"
Bay Street Corridor - Toronto,Condo Apt,600000,619540,725000.0,1.0,1,0,2207.0,358.0,500.0,4,NE,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,609800,625652,609800.0,1.0,1,0,2123.0,358.0,0.0,4,SE,0,0,0,"[0, 500)"
Waterfront Communities C1 - Toronto,Condo Apt,595000,602011,610000.0,1.0,1,0,1931.0,488.0,500.0,5,W,1,1,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,636000,665650,691500.0,1.0,1,1,2693.0,558.0,700.0,5,SW,1,1,0,"[700, 800)"
Niagara - Toronto,Condo Apt,699000,709770,690000.0,1.0,1,0,2279.0,286.0,600.0,7,W,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,589900,605777,625000.0,1.33,1,0,1900.0,398.0,500.0,7,N,1,0,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,669000,706316,780000.0,2.0,2,1,3509.0,706.0,700.0,7,NW,1,0,0,"[700, 800)"
Moss Park - Toronto,Condo Apt,638000,672352,660000.0,1.33,2,0,2447.0,503.0,600.0,8,S,1,1,0,"[600, 700)"
Waterfront Communities C8 - Toronto,Condo Apt,599988,633101,670000.0,1.0,1,0,1817.0,439.0,600.0,9,S,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,579999,606995,650000.0,1.0,1,0,2513.0,427.0,500.0,9,S,1,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,569900,583823,560000.0,1.0,1,1,1800.0,472.0,500.0,18,N,1,1,1,"[500, 600)"
Banbury-Don Mills - Toronto,Condo Apt,564999,547357,544999.0,1.0,1,0,2069.0,484.4277620396601,609.0,38,N,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,632000,659773,622000.0,1.33,1,1,2057.0,771.0,700.0,32,E,1,1,1,"[700, 800)"
Waterfront Communities C8 - Toronto,Condo Apt,649900,692367,705000.0,1.33,1,1,2441.0,496.0,600.0,0,N,0,1,0,"[600, 700)"
High Park North - Toronto,Condo Apt,599900,653249,617000.0,1.0,1,1,2411.0,496.0,500.0,1,NW,0,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,679000,699666,679000.0,1.33,1,0,2543.0,476.0,600.0,2,SW,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,638000,663368,638000.0,1.33,1,1,2135.0,474.0,500.0,2,E,1,1,0,"[500, 600)"
Mount Pleasant West - Toronto,Condo Apt,689000,703607,683000.0,1.33,1,1,2957.0,516.0,600.0,3,E,1,0,0,"[600, 700)"
High Park-Swansea - Toronto,Condo Apt,599900,662495,676000.0,2.0,2,1,2099.0,716.0,900.0,6,W,1,1,1,"[900, 1000)"
Moss Park - Toronto,Condo Apt,599000,660521,705000.0,1.33,2,0,2267.0,463.0,700.0,7,W,1,1,0,"[700, 800)"
South Riverdale - Toronto,Condo Townhouse,699000,782824,858000.0,2.0,1,1,2903.0,545.0,1000.0,7,E,0,1,0,"[1000, 1100)"
Mount Pleasant West - Toronto,Condo Apt,649000,697035,675000.0,1.33,2,2,2885.0,633.0,600.0,8,NW,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,699000,743912,702000.0,1.33,1,0,2933.0,485.0,700.0,13,NE,1,1,0,"[700, 800)"
Yonge-St. Clair - Toronto,Condo Apt,599000,603404,606000.0,1.0,1,1,2075.0,549.0,700.0,13,NW,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,625000,653967,635000.0,1.33,1,1,2084.0,511.0,600.0,14,N,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,643529,620000.0,1.33,1,1,2093.0,525.0,600.0,14,N,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,589000,622584,575000.0,1.66,1,1,2079.0,624.0,600.0,28,S,1,1,1,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,650000,648371,640000.0,1.0,1,0,2081.0,525.0,600.0,30,W,1,1,0,"[600, 700)"
Weston-Pellam Park - Toronto,Condo Townhouse,638888,676532,638888.0,1.33,1,1,2765.0,433.0,600.0,37,S,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,579900,626800,650000.0,1.33,1,1,2579.0,541.0,600.0,0,S,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,649900,692303,667000.0,1.33,1,0,2867.0,595.0,600.0,1,S,1,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,649900,676150,685000.0,1.33,1,1,2105.0,503.0,600.0,1,SW,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,669000,705987,762000.0,1.33,2,1,2485.0,526.0,700.0,1,W,1,1,0,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,659000,696464,725000.0,2.0,2,1,2807.0,622.0,600.0,2,N,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,599000,635577,685000.0,1.33,1,1,2153.0,507.0,600.0,2,E,1,1,0,"[600, 700)"
Casa Loma - Toronto,Condo Apt,553800,549203,565000.0,1.0,1,0,2204.0,464.0,500.0,2,W,1,1,0,"[500, 600)"
Church-Yonge Corridor - Toronto,Condo Apt,598000,625245,637500.0,1.33,1,0,2147.0,665.0,700.0,4,S,1,1,1,"[700, 800)"
Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,555000,584205,531000.0,1.33,1,0,1667.0,366.0,600.0,5,N,1,1,0,"[600, 700)"
Mount Pleasant West - Toronto,Condo Apt,639900,669406,667000.0,1.33,1,1,2501.0,562.0,600.0,5,S,1,1,0,"[600, 700)"
Regent Park - Toronto,Condo Apt,599000,626302,605000.0,1.33,1,0,1800.0,340.0,500.0,6,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,669000,680795,660100.0,1.33,1,0,2255.0,470.0,600.0,6,E,0,0,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,558000,576165,551000.0,1.0,1,0,1919.0,600.0,600.0,7,N,1,1,1,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,611721,599000.0,1.0,1,0,2099.0,370.0,0.0,7,E,1,1,0,"[0, 500)"
Bay Street Corridor - Toronto,Condo Apt,579900,577783,604000.0,1.0,1,0,1889.0,274.0,0.0,7,S,1,1,0,"[0, 500)"
Regent Park - Toronto,Condo Apt,699999,728269,807500.0,2.0,1,1,2471.0,599.0,700.0,7,NW,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,664900,675554,664000.0,1.33,1,1,2183.0,568.0,600.0,11,E,1,1,1,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,599900,624972,620000.0,1.33,1,1,2075.0,639.0,500.0,12,S,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,650000,678344,650000.0,1.33,1,0,2675.0,438.0,500.0,20,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,629000,646463,615000.0,1.0,1,0,2255.0,377.0,600.0,58,E,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,563900,599591,557500.0,1.0,1,0,2497.0,601.0,600.0,65,N,1,1,1,"[600, 700)"
Regent Park - Toronto,Condo Apt,565000,582560,625000.0,1.0,1,1,2033.0,516.0,600.0,1,N,1,1,0,"[600, 700)"
Waterfront Communities C1 - Toronto,Condo Apt,599000,624908,730000.0,1.0,1,0,2075.0,428.0,500.0,2,S,1,1,0,"[500, 600)"
Moss Park - Toronto,Condo Apt,599900,660377,665000.0,1.66,1,1,2471.0,639.0,700.0,4,W,1,1,1,"[700, 800)"
East End-Danforth - Toronto,Condo Townhouse,699900,797631,807000.0,2.33,2,1,3364.0,600.0,1000.0,5,E,0,1,0,"[1000, 1100)"
Flemingdon Park - Toronto,Condo Apt,660000,666383,635000.0,3.0,2,1,1450.0,762.0,1000.0,6,SW,1,1,1,"[1000, 1100)"
Niagara - Toronto,Condo Townhouse,699000,772768,818000.0,3.0,1,1,2660.0,462.0,800.0,6,N,1,1,1,"[800, 900)"
Church-Yonge Corridor - Toronto,Condo Apt,699000,726116,810000.0,1.33,1,1,2495.0,800.0,1000.0,6,S,1,1,1,"[1000, 1100)"
Caledonia-Fairbank - Toronto,Detached,699900,818213,860007.0,3.0,2,0,2501.0,760.2142857142857,950.0,6,SE,0,0,0,"[900, 1000)"
Church-Yonge Corridor - Toronto,Condo Apt,599000,603244,666600.0,1.0,1,0,1793.0,379.0,0.0,6,E,1,1,0,"[0, 500)"
Bay Street Corridor - Toronto,Condo Apt,674000,671101,680000.0,1.0,1,0,2855.0,534.0,500.0,7,NW,0,1,0,"[500, 600)"
Waterfront Communities C1 - Toronto,Condo Apt,639000,663894,625000.0,1.33,1,1,2417.0,653.0,700.0,11,SW,1,1,1,"[700, 800)"
Church-Yonge Corridor - Toronto,Condo Apt,690000,695895,695100.0,1.33,1,0,2411.0,398.0,500.0,8,N,1,0,0,"[500, 600)"
High Park-Swansea - Toronto,Condo Apt,599000,654081,711000.0,1.33,1,1,2195.0,600.0,700.0,8,E,1,1,0,"[700, 800)"
Kensington-Chinatown - Toronto,Condo Apt,645000,643634,639999.0,1.33,1,0,2219.0,450.0,500.0,9,W,1,0,0,"[500, 600)"
Mount Pleasant East - Toronto,Condo Apt,550000,564645,562000.0,1.33,1,1,1913.0,745.0,700.0,14,S,0,1,0,"[700, 800)"
Regent Park - Toronto,Condo Apt,679900,712611,657000.0,1.33,2,1,2255.0,608.0,700.0,15,W,1,1,0,"[700, 800)"
Waterfront Communities C1 - Toronto,Condo Apt,600000,601944,603550.0,1.0,1,0,2120.0,330.0,500.0,31,NE,1,1,0,"[500, 600)"
Bay Street Corridor - Toronto,Condo Apt,624888,620764,615000.0,1.0,1,0,2130.0,370.0,500.0,36,E,1,1,0,"[500, 600)"
Waterfront Communities C8 - Toronto,Condo Apt,679900,683935,668000.0,1.33,1,0,2322.5,386.0,600.0,38,NE,1,1,0,"[600, 700)"
Moss Park - Toronto,Condo Apt,685000,700681,685000.0,1.33,2,1,2297.0,501.0,600.0,0,W,1,1,0,"[600, 700)"
Church-Yonge Corridor - Toronto,Condo Apt,625000,633040,682000.0,1.0,1,0,2267.0,316.0,500.0,2,W,1,1,0,"[500, 600)"
Annex - Toronto,Condo Apt,569000,576460,570000.0,1.0,1,0,2418.0,330.0,0.0,2,S,0,0,0,"[0, 500)"
